Широта;Долгота;Описание;Подпись;preset
54.3150278;48.403373;Ульяновск, Ульяновская область;Ульяновск;islands#blueDotIcon
51.8357841;107.5839105;Улан-Удэ, Республика Бурятия;Улан-Удэ;islands#blueDotIcon
54.7261409;55.947499;Уфа, Республика Башкортостан;Уфа;islands#blueDotIcon
57.153534;65.542274;Тюмень, Тюменская область;Тюмень;islands#blueDotIcon
54.1930321;37.61754;Тула, Тульская область;Тула;islands#blueDotIcon
56.4887526;84.9523434;Томск, Томская область;Томск;islands#blueDotIcon
53.5098845;49.4189187;Тольятти, Самарская область;Тольятти;islands#blueDotIcon
47.2392184;38.8755031;Таганрог, Ростовская область;Таганрог;islands#blueDotIcon
45.0433245;41.9690934;Ставрополь, Ставропольский край;Ставрополь;islands#blueDotIcon
59.938732;30.316229;Санкт-Петербург, Санкт-Петербург;Санкт-Петербург;islands#blueDotIcon
43.5854823;39.723109;Сочи, Краснодарский край;Сочи;islands#blueDotIcon
54.7789701;32.0471812;Смоленск, Смоленская область;Смоленск;islands#blueDotIcon
44.9494978;34.1003633;Симферополь, Республика Крым;Симферополь;islands#blueDotIcon
44.599058;33.4881648;Севастополь, Севастополь;Севастополь;islands#blueDotIcon
51.530018;46.034683;Саратов, Саратовская область;Саратов;islands#blueDotIcon
53.1956255;50.1014927;Самара, Самарская область;Самара;islands#blueDotIcon
54.6702523;39.6884424;Рязань, Рязанская область;Рязань;islands#blueDotIcon
58.0108531;56.2318528;Пермь, Пермский край;Пермь;islands#blueDotIcon
53.1953477;45.0190437;Пенза, Пензенская область;Пенза;islands#blueDotIcon
51.7671248;55.0978517;Оренбург, Оренбургская область;Оренбург;islands#blueDotIcon
54.991375;73.371529;Омск, Омская область;Омск;islands#blueDotIcon
54.9678145;82.9515989;Новосибирск, Новосибирская область;Новосибирск;islands#blueDotIcon
44.7239578;37.7690711;Новороссийск, Краснодарский край;Новороссийск;islands#blueDotIcon
53.7575903;87.1358494;Новокузнецк, Кемеровская область;Новокузнецк;islands#blueDotIcon
56.3264816;44.0051395;Нижний Новгород, Нижегородская область;Нижний Новгород;islands#blueDotIcon
55.7419774;52.399207;Набережные Челны, Республика Татарстан;Набережные Челны;islands#blueDotIcon
;;Мариуполь, Донецкая Народная Республика;Мариуполь;islands#blueDotIcon
42.9830241;47.5048717;Махачкала, Республика Дагестан;Махачкала;islands#blueDotIcon
53.4070173;58.9811297;Магнитогорск, Челябинская область;Магнитогорск;islands#blueDotIcon
52.6051488;39.5963775;Липецк, Липецкая область;Липецк;islands#blueDotIcon
51.7309249;36.1923123;Курск, Курская область;Курск;islands#blueDotIcon
44.9494978;34.1003633;Крым, Республика Крым;Крым;islands#blueDotIcon
56.0091173;92.872586;Красноярск, Красноярский край;Красноярск;islands#blueDotIcon
45.0351532;38.9772396;Краснодар, Краснодарский край;Краснодар;islands#blueDotIcon
58.6035661;49.6666241;Киров, Кировская область;Киров;islands#blueDotIcon
55.3550907;86.0871213;Кемерово, Кемеровская область;Кемерово;islands#blueDotIcon
55.7946485;49.1115022;Казань, Республика Татарстан;Казань;islands#blueDotIcon
54.710128;20.5105838;Калининград, Калининградская область;Калининград;islands#blueDotIcon
