ID;city_name;city_slug;city_regions;city_eng;city_padej1;city_padej2;city_padej3;city_phone;belingogeopro_excluded_cities
489;Азов;azov;"Ростовская область";;в Азове;в Азов;из Азова;;Array
488;Волгодонск;volgodonsk;"Ростовская область";;в Волгодонске;в Волгодонск;из Волгодонска;;Array
487;Каменск-Шахтинский;kamensk-shaxtinskij;"Ростовская область";;в Каменске-Шахтинском;в Каменск-Шахтинский;из Каменска-Шахтинского;;Array
486;Новошахтинск;novoshaxtinsk;"Ростовская область";;в Новошахтинске;в Новошахтинск;из Новошахтинска;;Array
485;Новочеркасск;novocherkassk;"Ростовская область";;в Новочеркасске;в Новочеркасск;из Новочеркасска;;Array
484;Ростов-на-Дону;rostov-na-donu;"Ростовская область";;в Ростове-на-Дону;в Ростов-на-Дону;из Ростова-на-Дону;;Array
483;Донецк;doneck;"Донецкая Народная Республика";;в Донецке;в Донецк;из Донецка;;Array
482;Ярославль;yaroslavl;"Ярославская область";;в Ярославле;в Ярославль;из Ярославля;;Array
481;Волгоград;volgograd;"Волгоградская область";;в Волгограде;в Волгоград;из Волгограда;;Array
480;Владикавказ;vladikavkaz;"Республика Северная Осетия - Алания";;во Владикавказе;во Владикавказ;из Владикавказа;;Array
479;Ульяновск;ulyanovsk;"Ульяновская область";;в Ульяновске;в Ульяновск;из Ульяновска;;Array
478;Улан-Удэ;ulan-ude;"Республика Бурятия";;в Улан-Удэ;в Улан-Удэ;из Улан-Удэ;;Array
477;Уфа;ufa;"Республика Башкортостан";;в Уфе;в Уфу;из Уфы;;Array
476;Тюмень;tyumen;"Тюменская область";;в Тюмени;в Тюмень;из Тюмени;;Array
475;Тула;tula;"Тульская область";;в Туле;в Тулу;из Тулы;;Array
474;Томск;tomsk;"Томская область";;в Томске;в Томск;из Томска;;Array
473;Тольятти;tolyatti;"Самарская область";;в Тольятти;в Тольятти;из Тольятти;;Array
472;Таганрог;taganrog;"Ростовская область";;в Таганроге;в Таганрог;из Таганрога;;Array
471;Ставрополь;stavropol;"Ставропольский край";;в Ставрополе;в Ставрополь;из Ставрополя;;Array
470;Санкт-Петербург;sankt-peterburg;Санкт-Петербург;;в Санкт-Петербурге;в Санкт-Петербург;из Санкт-Петербурга;;Array
469;Сочи;sochi;"Краснодарский край";;в Сочи;в Сочи;из Сочи;;Array
468;Смоленск;smolensk;"Смоленская область";;в Смоленске;в Смоленск;из Смоленска;;Array
467;Симферополь;simferopol;"Республика Крым";;в Симферополе;в Симферополь;из Симферополя;;Array
466;Севастополь;sevastopol;Севастополь;;в Севастополе;в Севастополь;из Севастополя;;Array
465;Саратов;saratov;"Саратовская область";;в Саратове;в Саратов;из Саратова;;Array
464;Самара;samara;"Самарская область";;в Самаре;в Самару;из Самары;;Array
463;Рязань;ryazan;"Рязанская область";;в Рязани;в Рязань;из Рязани;;Array
462;Пермь;perm;"Пермский край";;в Перми;в Пермь;из Перми;;Array
461;Пенза;penza;"Пензенская область";;в Пензе;в Пензу;из Пензы;;Array
460;Оренбург;orenburg;"Оренбургская область";;в Оренбурге;в Оренбург;из Оренбурга;;Array
459;Омск;omsk;"Омская область";;в Омске;в Омск;из Омска;;Array
458;Новосибирск;novosibirsk;"Новосибирская область";;в Новосибирске;в Новосибирск;из Новосибирска;;Array
457;Новороссийск;novorossijsk;"Краснодарский край";;в Новороссийске;в Новороссийск;из Новороссийска;;Array
456;Новокузнецк;novokuzneck;"Кемеровская область";;в Новокузнецке;в Новокузнецк;из Новокузнецка;;Array
455;"Нижний Новгород";nizhnij-novgorod;"Нижегородская область";;в Нижнем Новгороде;в Нижний Новгород;из Нижнего Новгорода;;Array
454;"Набережные Челны";naberezhnye-chelny;"Республика Татарстан";;в Набережных Челнах;в Набережные Челны;из Набережных Челнов;;Array
453;Мариуполь;mariupol;"Донецкая Народная Республика";;в Мариуполе;в Мариуполь;из Мариуполя;;Array
452;Махачкала;maxachkala;"Республика Дагестан";;в Махачкале;в Махачкалу;из Махачкалы;;Array
451;Магнитогорск;magnitogorsk;"Челябинская область";;в Магнитогорске;в Магнитогорск;из Магнитогорска;;Array
450;Липецк;lipeck;"Липецкая область";;в Липецке;в Липецк;из Липецка;;Array
449;Курск;kursk;"Курская область";;в Курске;в Курск;из Курска;;Array
448;Крым;krym;"Республика Крым";;в Крыму;в Крым;из Крыма;;Array
447;Красноярск;krasnoyarsk;"Красноярский край";;в Красноярске;в Красноярск;из Красноярска;;Array
446;Краснодар;krasnodar;"Краснодарский край";;в Краснодаре;в Краснодар;из Краснодара;;Array
445;Киров;kirov;"Кировская область";;в Кирове;в Киров;из Кирова;;Array
444;Кемерово;kemerovo;"Кемеровская область";;в Кемерово;в Кемерово;из Кемерово;;Array
443;Казань;kazan;"Республика Татарстан";;в Казани;в Казань;из Казани;;Array
442;Калининград;kaliningrad;"Калининградская область";;в Калининграде;в Калининград;из Калининграда;;Array
441;Ижевск;izhevsk;"Удмуртская Республика";;в Ижевске;в Ижевск;из Ижевска;;Array
440;Иркутск;irkutsk;"Иркутская область";;в Иркутске;в Иркутск;из Иркутска;;Array
439;Хабаровск;xabarovsk;"Хабаровский край";;в Хабаровске;в Хабаровск;из Хабаровска;;Array
